themes,projet,section,title,contenu,author,type,created_at,updated_at,id
Consommation,Comment soutenir des modes de consommation plus responsables ?,Problème,Il existe un décalage important entre les souhaits exprimés par les consommateurs et leurs pratiques quotidiennes,"Oui, les français veulent manger mieux, mais il ne savent pas comment faire.
Nous avons constaté sur le terrain que les consommateurs ne connaissaient pas
la différence de qualité entre différents types de production. Il y a des
lacunes dans l'éducation à l'alimentation, et l'Etat Français en paye le prix
au long terme : Mauvaise alimentation =&gt; problèmes sanitaires =&gt; coûts
de santé publique. Achats de produits étrangers =&gt; fuite économique et
déprise agricole française =&gt; coûts de sécurité sociale (chomage). Non
reconnaissance de production non raisonnée =&gt; soutien malgré soi
d'agriculture à impacts environnementaux élevés =&gt; coûts liés à la
réparation des dégats (dépollution des eaux, traitement des cancers, etc.).
Les impacts économiques, sociaux et environnementaux pour le pays sont énormes
! Il y a donc un véritable intérêt à rémédier le problème. Au quotidien, on ne
peut pas demander à tout les consommateurs de devenir agronomes du jour au
lendemain, mais une éducation à l'école, suivi de règles d'informations
consommateurs tout au long de notre vie nous aiderait à raisonner notre
alimentation. Et pour terminer, avec un peu de bonne volonté de chacun, ça
avancera encore mieux :-)

",Locavorium,pour,2017-07-27T11:57:30+0200,2017-07-27T11:57:30+0200,0162fb5f-72b2-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Causes,favoriser les produits locaux,"Restriction à la proposition : renchérir les produits transformés et importés

",Stéphanie Lambert,contre,2017-07-26T12:41:38+0200,2017-07-26T12:41:38+0200,0169ba74-71ef-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Causes,Les animaux sont des êtres conscients pas des aliments,"@ paysanne, qu'en savez-vous que l'animal ne souffre pas quand il est tué ? Et
l'animal ne souffre-t-il pas avant d'être tué ? Croyez-vous qu'il n'est pas
conscient de ce qui se passe pour son compagnon devant lui dans la chaîne
d'abattoir ? Croyez-vous qu'il n'a pas conscience de l'atmosphère de mort tout
autour de lui ? Les animaux sont plus intelligents que vous ne semblez le
penser. Croyez-vous que les enfants sont heureux d'apprendre que les animaux
sont tués pour être mangés, alors que cela n'est pas nécessaire ? C'est bien
l'agriculture animale à l'échelle mondiale qui crée la pénurie d'aliments
végétaux pouvant nourrir sainement et abondamment toute la planète.

",bocet,pour,2017-08-14T13:37:51+0200,2017-08-14T13:41:52+0200,016efce9-80e5-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Solutions,"Financer la mise en place de 50% d’approvisionnements durables (de saison, bio, locaux &lt; 100 km) d’ici 5 ans dans la restauration collective et remplacer 25% de la proposition de produits carnés par d’autres protéines.","Fondamental et urgent. Une décision forte à prendre pour nourrir plus
sainement les enfants, initier de nouveaux modèles de consommation et soutenir
solidement les producteurs locaux . En outre, limiter la viande et proposer
quelques repas végétariens bien conçus prendrait une dimension symbolique
intéressante pour sensibiliser à une alimentation conciliant équilibre des
ressources et santé.

",Missbgg,pour,2017-08-08T16:29:36+0200,2017-08-08T16:40:57+0200,0173739a-7c46-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Solutions,Mettre en place une charte proposée aux annonceurs,"Il ne faut pas une charte mais un cadre législatif contraignant

",Virginie,pour,2017-07-21T10:02:56+0200,2017-07-21T10:02:56+0200,0181a7c9-6deb-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Causes,Viande et écologie: Promouvoir les alternatives à l'alimentation carnée,"Puisqu'il faut être plus clair: ma proposition n'est pas un plaidoyer pour le
végétarianisme, ni pour une agriculture sans élevage et sans prairie, je ne
suis pas naïf. Ce que je défends par contre, et je pense que vous me
l'accorderez, c'est qu'on ne s'interroge pas sur les implications à grande
échelle de l'activité la plus quotidienne de toutes: manger. J'ai passé 22 ans
à manger de la viande sans me poser aucune question, AUCUNE, pourtant j'ai
fait des études, j'ai été éduqué.. C'est pourquoi j'ai voulu alerter,
questionner sur l'implication écologique de cette activité si présente, si
quotidienne qu'est se nourrir, conséquences qui pourraient être amenuisés déjà
par une RÉDUCTION de notre consommation de viande. Je réponds enfin, et
succinctement cette fois, aux deux autres arguments contre: oui l’excès n'est
pas bon dans un cas comme dans l'autre, on est d'accord, mais l'excès réel,
concret, c'est lequel? Ne croyez pas que l'agriculture française (et
européenne), alors que nous sommes en train de ratifier le CETA, n'ait rien à
voir avec cet excès, ne soyez pas naïfs. Quant à l'idée que l'élevage=la
fertilisation des sols, maintien de la biodiversité, ce n'est pas sérieux,
l'élevage ce n'est pas la seule prairie: c'est aussi les champs de blé, de
maïs, de maniocs. À cela, je répondrai encore que l'élevage est la 1ère cause
de déforestation dans le monde, donc première cause de la sixième extinction
massive des espèces. L'espace n'est malheureusement pas propice au débat, je
rajouterai pour finir quelques éléments: nous produisons déjà suffisamment
(çàd sans devoir transformer le monde en Beauce) de végétaux pour nourrir
sainement 11-12 milliards d'humains. De meilleures manières de s'alimenter, de
produire, de faire de l'élevage et de la culture existent. Cela ne peut pas
tenir à la seule responsabilité individuelle, ni à l'agriculteur isolé, ni au
consommateur isolé.

",Moandor,pour,2017-07-28T11:34:51+0200,2017-07-28T11:34:51+0200,01947827-7378-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,Agriculture Efficiente Mesurée,"Le pragmatisme doit l emporter sur l idéologisme...la culture du résultat
applicable à tous ! ????

",Thony Cesbron,pour,2017-07-21T06:49:40+0200,2017-07-21T06:49:39+0200,01994315-6dd0-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Causes,Bien-être des animaux d'élevage et meilleure consommation,"Interdire les publicités/communications mensongères avec des animaux libres et
heureux quand cela est manifestement faux.

",Nicolas,pour,2017-07-22T21:57:34+0200,2017-07-22T21:57:34+0200,019b6bb9-6f18-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Solutions,Renforcer le rôle des collectivités territoriales dans l’adoption de modes de consommation responsables,"Dimensionner une nouvelle compétence obligatoire des EPSI/ communautés de
communes consistant à aménager les parties rurales des territoires et orienter
les pratiques agricoles et commerciales des producteurs (comme certaines EPCI
le font dans les choix des secteurs économiques dynamisés sur leur territoire
urbain). Il manque cruellement d'outils qui permettent aux communautés de
communes de dynamiser la production agricole de leur territoire et de ""choisir
son orientation"" (bio, circuit-court, pronation-supination locale ... ) dans
un objectif de préservation de l'environnement et de permettre l'accès à des
produits de ""commerce équitable locale"" à l'ensemble de la population du
territoire.

",Bleuenn le sauze,pour,2017-07-31T17:57:50+0200,2017-07-31T17:57:50+0200,01aaf677-7609-11e7-92ee-fa163e947a7a
Consommation,Comment favoriser l’accès du plus grand nombre à une alimentation suffisante et saine ?,Solutions,Developper la restauration collective de qualité,"Oui, mais il est important de se saisir de notre santé et de notre
alimentation. Cuisiner, avoir la possibilité en restauration collective
d'apporter notre nourriture, saine (bio) et équilibrée, contenues dans des
récipients stables dont les particules ne risquent pas de migrer dans les
aliments.

",IR,contre,2017-07-28T23:09:12+0200,2017-07-28T23:09:12+0200,01af01a3-73d9-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Problème,Les informations relatives à la qualité des aliments (notamment l’emballage des produits) et à l’alimentation ne correspondent pas forcément à ce qu’attendent désormais les consommateurs,"Je trouve ça fou de devoir inscrire sur les produit bio le mot bio et sur tout
les autres rien. On ne sait pas quel pesticides, insecticides... ont été
utiliser

",Chloé Martin,contre,2017-08-25T14:36:23+0200,2017-08-25T14:36:23+0200,01b1cf75-8992-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Solutions,Adopter un régime de TVA différencié entre les produits AB et autre,"Pour la tva, voir à ce sujet http://www.tva-sociale.fr/agriculture-paysans-
tva-sociale/

",Yves Soulabail,pour,2017-08-18T19:31:02+0200,2017-08-18T19:31:01+0200,01c57c81-843b-11e7-92ee-fa163e947a7a
Consommation,Comment favoriser l’accès du plus grand nombre à une alimentation suffisante et saine ?,Problème,8 millions de personnes en France n’ont pas accès à une alimentation adéquate en quantité et en qualité,"La malbouffe est en partie économique et en partie culturelle... la pizza
surgelée n'est pas meilleure marchée qu'un œuf avec épinard!

",jeromedecaen,contre,2017-07-24T20:36:28+0200,2017-07-24T20:36:28+0200,01e30e3c-709f-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Problème,Le revenu des agriculteurs ne cesse de diminuer,"La situation de quasi monopole (de vente)/""monopole d'achat"" des supermarchés
ou laiteries ne permet pas aux producteurs d'établir un prix ""équilibré"" qui
respecte leur coût de production. Ce déséquilibre donne une part trop belle
aux monopole, menaçant les monopoles eux-même. Il est donc nécessaire 1 - de
réguler et 2 - de tendre vers un marché pur et parfait. (suite) B - La
""pureté"" de la concurrence Pour être « pure », la concurrence doit faire en
sorte que : 2 - les produits soient homogènes : jugés identiques, homogènes ou
substituables. Les biens échangés sont semblables en qualité et en
caractéristiques, et donc interchangeables. Pour la vente, les
conchyliculteurs appliquent à leurs produits des normes de qualité : normes
ISO, labels et appellations, ce qui rend service aussi bien aux acheteurs
qu'aux vendeurs. Pour les agriculteurs, les produits étrangers importés sont
rarement élaborés avec les même contraintes environnementales et sanitaires
qu'en France (coût moindre). Ils ne devraient pas être vendus de la même façon
avec le même emballage que ceux qui respectent ces contraintes. L'état devrait
réguler cette mise en vente déloyale par une taxe, une mise en marché séparée
et un étiquetage transparent sur le processus de production et la qualité
obtenue. 3 - le marché soit fluidifié par la libre entrée et sortie des
acteurs sur le marché : quiconque veut vendre sa production peut le faire sans
restriction ni délai : pas d'entrave tarifaire, administrative, technique à
l’entrée. Les conchyliculteurs ont le droit de vendre leurs productions
directement aux consommateurs. Par contre, les agriculteurs ont des
difficultés juridiques, techniques et tarifaires pour transformer ou vendre
directement leurs production. L'abattage, la transformation et la vente
directe des agriculteurs doivent être étudiées pour les rendre techniquement,
juridiquement et administrativement possible.

",Isabelle COJAN,pour,2017-07-25T13:32:57+0200,2017-07-25T13:32:57+0200,01f45c85-712d-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Solutions,Renforcer la formation en nutrition des professionnels de santé,"Il y a une profession pour cela: les diététiciens!

",Fanny Paris,contre,2017-07-21T15:03:35+0200,2017-07-21T15:03:35+0200,020097c0-6e15-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Causes,Apprendre à nos enfants à reconnaître les bons produits,"Apprendre à reconnaitre les bons produits dès le plus jeune âge mais aussi
prendre le temps d'expliquer ce qu'est l'agriculture, comment est produit du
lait, des oeufs, des légumes, ... serait important pour adopter un esprit
critique !

",Océane,pour,2017-08-04T14:04:02+0200,2017-08-04T14:04:02+0200,02109603-790d-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Causes,Des relations commerciales déséquilibrées,"stopper la spéculation. Supprimer au maximum les intermédiaires ou sinon
équilibrer les revenus de chacun. Privilègier les circuits courts

",Emilie Michelin,pour,2017-07-26T11:58:42+0200,2017-07-26T11:58:42+0200,021e74d3-71e9-11e7-92ee-fa163e947a7a
Consommation,Comment favoriser l’accès du plus grand nombre à une alimentation suffisante et saine ?,Causes,"Le prix, premier critère de choix alimentaire","Il faut être vigilant pour que l'on assiste pas au développement d'une
alimentation à deux vitesse : des catégories aisées et informées qui se
nourrissent de bon produits, et les catégories les plus pauvres qui n'ont ni
l'argent, ni le recul nécessaire pour se nourrir convenablement ( au
supermarché, les enfants dans les caddies qui mangent des paquets de chips !!
:(

",lorson,pour,2017-07-27T11:07:25+0200,2017-07-27T11:07:25+0200,023c8599-72ab-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,changer de logique economique : permaculture,"Oui. Pierre Rabbhi pourrait être consulté pour sa longue expérience
internationale en la matière.

",Line,pour,2017-07-21T22:56:03+0200,2017-07-21T22:56:03+0200,024409ad-6e57-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Solutions,Une heure d’éducation alimentaire par semaine à l’école en primaire,"Entièrement d'accord d'enseigner l'origine de nos aliments aux enfants, car
avec une porpulation urbaines toujours grandissante le décalage entre le
producteurs et le consommateurs se creuse. Je rajouterais un point : faire
participer les enfants à la production d'aliment, exemples : potager à
l'école, visite de fermes. Et bien sur dans des structures respectant les
enjeux environnementaux , sociaux et économique pour assurer une durabilité.

",Florian Vigroux,pour,2017-07-22T01:26:22+0200,2017-07-22T01:26:22+0200,0245d7bd-6e6c-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Solutions,Proposer un véritable plan de transition progressive vers l'agriculture biologique,"Formidable plaidoyer, rien à ajouter!

",lecomte,pour,2017-07-30T00:55:24+0200,2017-07-30T00:55:24+0200,024d4d66-74b1-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Causes,Des normes plus ou moins exigeantes et d’application inégale,"Lier la rémunération désastreuse des agriculteurs aux normes n'est pas juste,
pourquoi ne pas parler des intermédiaires, du mode d'alimentation des bêtes et
des produits achetés qui coutent cher, des exploitations de plus en plus
grandes qui ne rémunèrent plus quand le cours s'effondre ? repenser le système
agricole c'est 1. pour les agriculteurs : revoir leur mode de production, 2\.
nos modes d'achat, viser le direct au producteur est possible. Avec une
réduction des intermédiaires, les agriculteurs vivront mieux.

",citoyenne engagée,contre,2017-08-11T12:15:32+0200,2017-08-11T12:15:32+0200,02518d16-7e7e-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Causes,"Cause : les publicités mensongères (animaux heureux, souriants, érotisés, personnifiés, …)","vos mensonges ne vous dérangent pas trop ?

",paysanne,contre,2017-07-26T23:11:35+0200,2017-07-26T23:11:35+0200,025206a7-7247-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Problème,Le revenu des agriculteurs ne cesse de diminuer,"Mettre en avant le coût de la main d'œuvre et le zèle administratif pour
expliquer la dégradation des revenus relève d'un peu de démagogie. L'analyse
des résultats comptables des exploitations montrent que celles qui ont un
faible revenu sont aussi celles qui ont le moins de dépenses de main d'œuvre
(salaires + charges sociales). Ces analyses montrent aussi que la majeure
partie des problèmes économiques sont liés à : \- des coûts d'installation
trop élevés par rapport à la valeur économique de ces mêmes exploitations \-
la fuite en avant de l'augmentation de la taille des exploitations, sous
prétexte d'économie d'échelle, et qui généralement occasionne investissements
élevés et dégradation de l'efficacité économique (Excédent d'exploitation en %
du produit total). \- un défaut de maîtrise technique, dans le sens où les
choix techniques ne sont pas appropriés et dégradent la marge de
l'exploitation. Les leviers qui amélioreraient l'efficacité économique des
exploitations sont en premier lieu des choix techniques. L'exemple de la part
de pâturage dans les exploitations laitières en est l'illustration. Il
conviendrait de bien redéfinir le concept d'unité économique viable tant d'un
point de vue technique, qu'économique, sociale ou environnemental. Il y a
aujourd'hui des systèmes d'exploitations qui répondent à l'ensemble de ces
critères.

",Guy,contre,2017-07-26T01:14:28+0200,2017-07-26T01:14:28+0200,02550408-718f-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,Recréer des filières et des coopératives à échelle humaine,"J'ajouterais : revenir à des ""vraies"" coopératives. Le fait de recréer des
coopératives à taille humaine permettrait : 1\. qu'elles puissent être
véritablement gérées PAR les agriculteurs POUR les agriculteurs (et non comme
des grands groupes privés pour certaines). 2\. conserver une certaine
proximité et un fort relationnel fondamental pour les agriculteurs

",Charline R,pour,2017-07-26T10:18:30+0200,2017-07-26T10:18:30+0200,026df364-71db-11e7-92ee-fa163e947a7a
Exportation / International,Comment renforcer la politique française de coopération et d’aide au développement en matière d’alimentation ?,Solutions,"Promouvoir, au niveau international, des investissements agricoles responsables ainsi que des modèles de production et de transformation agricoles durables","De mon expérience dans l'univers agroalimentaire, la cellule familiale et
surtout les femmes sont la base de tout projet de dynamisation agricole
réussi.

",luc,pour,2017-07-20T23:25:52+0200,2017-07-20T23:25:52+0200,0287177d-6d92-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Problème,Le revenu des agriculteurs ne cesse de diminuer,"Globalement d'accord, même si le sujet est posé de façon ""un peu courte"" avec
ces quelques chiffres. Et puis: un revenu moyen de 9700 €/an, soit 800€/mois,
et, en même temps, 50% des agriculteurs ont touché moins de 350 €/mois, ..
bizarre. Mais bon, quand on voit ce qui se passe avec les producteurs de lait,
les producteurs de fruits, maintenant soumis au même régime, et surement aussi
les éleveurs, alors que dans les reportages télé, on entend souvent dire que
si les distributeurs acceptaient des hausses de prix de quelques centimes, une
grosse partie du problème des producteurs serait réglé. Allons, que chaque
""consommateur"" accepte de payer ces qq centimes de plus. A condition qu'il
soient effectivement redistribués aux producteurs. Autre chose svp, avoir une
vision plus large que la seule situation française, serait intéressant. Un peu
de comparaison avec nos voisins : les prix des matières premières et des
équipements sont-ils comparables ? Et le prix d'un litre de lait dans les pays
européens est-il comparable à celui qu'on trouve chez nous ? etc...

",villadan,pour,2017-08-11T17:44:49+0200,2017-08-11T17:44:49+0200,028b9b59-7eac-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Causes,1 plat de substitution végétarien (et non sans porc) dans la restauration collective,"Penser que la production de viande est responsable de 50% des gaz à effet de
serre (film ""Avant le déluge"" de L. Di Caprio). De plus, manger végétarien est
meilleur pour la santé.

",Neinlahr,pour,2017-08-09T09:33:16+0200,2017-08-09T09:33:16+0200,028d2b52-7cd5-11e7-92ee-fa163e947a7a
