themes,projet,section,title,contenu,sourcesCount,votesCountOk,updatedAt,connectionsCount,createdAt,votesCountNok,author,pinned,votesCount,argumentsCount,versionsCount,votesCountMitige,id
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Solutions,Flécher les 5 milliards d'euros sur la transition agricole et alimentaire,"Flécher les 5 milliards d'euros sur la transition agricole et alimentaire

",0,92,2017-08-17T11:46:57+02:00,0,2017-08-17T11:46:57+02:00,1,paysan43,False,94,4,0,1,02b6e2f3-8331-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Solutions,Creation label «respect»,"Créer et communiquer sur un label facilement reconnaissable par les clients,
intitulé «respect» ou «vie décente» ou ce que vous voulez du moment que :

_ son attribution authentifiee par un organisme independant signifie
clairement au client que la grande surface a payé pour cette marchandise un
prix qui assure à un producteur qui ne vivrait que de cette production avec un
volume de production dans la moyenne de la productivité raisonnable un revenu
de ... à fixer (ex 800 euros par mois)

_ l'attribution de ce label ne forcerait ainsi pas les grandes surfaces à
divulguer leurs marges, mais rendrait les consommateurs acteurs du choix
consistant à payer plus cher (dans un premier temps, car après il y a des
chances que les grandes surfaces diminuent leurs marges) pour permettre à un
agriculteur de vivre decemment ou de payer moins cher en sachant ce dont il
sera responsable.

_ le prix minimum fixé qui permettrait de générer ce revenu plancher (et
declencherait l'attribution du label) ne serait pas destiné à sponsoriser une
agriculture qui ne réformerait pas son modèle mais à ne pas detruire des
emplois face à un dumping genetique ou social...il serait donc suffisamment
bas pour que les entreprises non rentables ferment iu se réforment, mais
suffisamment haut pour qu'avec une efficience reconnue elles puissent survivre

_ ce prix serait fixé par denrée tous les 6 mois par un collège d'experts
multipartite = 2 pour les clients, 2 pour les distributeurs, 2 pour les
agriculteurs, et 2 pour l'état.

  

",0,0,2017-08-19T16:52:23+02:00,0,2017-08-19T16:52:23+02:00,0,Nikki75,False,0,0,0,0,02c9cc9d-84ee-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Causes,La plupart des industriels de l'alimentaire travaillent à nous faire consommer plus et nous rendre dépendants de leurs produits,"Les industriels de l'alimentaire, et de la restauration fast food ont un
intérêt évident à nous faire consommer plus pour moins cher et ont développé
une ""science"", une ingénierie alimentaire pointue dans ce domaine capable de
modifier profondément des graisses, sucres, sels et de créer de nouveaux
ingrédients pour mettre sur le marché des produits toujours plus appétents
voire hautement addictifs . Leurs ingrédients, technologies, stratégies
marketing (4P) et lobbyings sont de plus en plus raffinés et difficilement
lisibles, compréhensibles par les autorités et les consommateurs.

  

http://www.foodpolitics.com/food-politics-how-the-food-industry-influences-
nutrition-and-health/

http://www.michaelmossbooks.com/home#book

",0,5,2017-08-03T12:10:43+02:00,0,2017-08-03T12:10:43+02:00,0,Woodtiger,False,5,0,0,0,02cdeda1-7834-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Solutions,Encourager la création de magasins de producteurs,"Développer les lieux de vente en circuit courts de producteurs de différents
produits locaux (épicerie, frais, viande, fromages...) facilement accessibles
dans les villes/villages et par la route en entrée/sortie d'agglomération.

",0,0,2017-08-24T14:16:08+02:00,0,2017-08-24T14:16:08+02:00,0,Woodtiger,False,0,0,0,0,02f7eeee-88c6-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,Soutenir les démarches de reprise en main de la distribution par les producteurs eux-mêmes,"Pour relocaliser l'économie agricole et ainsi maintenir la valeur ajoutée sur
les territoires :

\- faciliter l'émergence de projets collectifs de distribution des produits
agricoles gérés par la profession,

\- faciliter l'approvisionnement local dans la restauration hors domicile
(RHD) : renforcer le lien entre l'offre et la demande, agir sur les budgets de
la restauration collective publique et assouplir le code des marchés publics,
aider les transformateurs à répondre à ce type de marché, favoriser le
regroupement de l'offre dédiée, former le personnel de cuisine et investir
dans le matériel nécessaire pour cuisiner les produits frais.

",0,17,2017-08-25T09:07:09+02:00,0,2017-08-25T09:07:09+02:00,0,JeunesAgriculteurs,False,17,0,0,0,031e6b92-8964-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,Développer l'alimentation des porcs à base de résidus / déchets alimentaires,"Avec des coûts de production élevés et des prix bas du porc, les agriculteurs
se tournent vers des méthodes agricoles plus intensives, ce qui entraîne un
surpeuplement, une surexploitation, et une intensification de l'usage des
antibiotiques.

  

Nourrir les porcs avec des aliments à base de déchets alimentaires serait une
solution économique et durable :

https://feedbackglobal.org/campaigns/pig-idea/

http://www.fcrn.org.uk/fcrn-blogs/karenluyckx/using-food-waste-pig-feed

  

Un exemple : les producteurs d'aliments à base de déchets alimentaires au
Japon et en Corée du Sud produisent des aliments nutritifs et sûrs pour les
porcs provenant des déchets alimentaires à la moitié du coût des aliments
classiques.

  

",0,0,2017-08-28T14:54:21+02:00,0,2017-08-28T14:54:21+02:00,0,Woodtiger,False,0,0,0,0,031eca82-8bf0-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,Charges patronnales,"Allègement ou suppressions des charges pour les agriculteurs pour qu'ils
soient plus compétitif vis à vis de l'international tout en ayant un reste à
vivre convenable

",0,4,2017-07-20T20:26:56+02:00,0,2017-07-20T20:26:56+02:00,3,Clément Naulin,False,7,2,0,0,0349e62c-6d79-11e7-92ee-fa163e947a7a
Consommation,Comment renforcer la sécurité sanitaire de l'alimentation ?,Solutions,"Sensibiliser la population sur les risques de dépendances aux drogues alimentaires: alcools, fromages, produits laitiers, aliments transformés et gras","Les annonces publicitaires ou promotionnelles pour les drogues alimentaires
devraient être accompagnées d'un message avertissant les consommateurs des
risques de dépendances et les dangers associés à ces produits.

  

Les alcools sont une drogue dure à forte dépendance physique et psychologique,
dont les effets ont été documentés depuis très longtemps dans la littérature
médicale.

  

Plus récemment, des chercheurs en nutrition ont révélé par une échelle
d'addiction de la nourriture (Yale Food Addiction Scale -
[source](https://www.ncbi.nlm.nih.gov/pubmed/25692302)) que les fromages et
produits laitiers étaient également des drogues alimentaires addictives du
fait de la protéine du lait de vache, la caséine, agissant sur les mêmes
récepteurs du cerveau que les opiacés en se transformant en casomorphines.

  

Le chercheur émérite de l'Université de Cornell en biologie nutritionnelle, T.
Colin Campbell a de plus depuis plusieurs décennies documenté avec ses équipes
l'effet cancérigène de la caséine, dans de nombreuses études sur des rats en
laboratoire, allant jusqu'à déclarer que ""_la caséine est la molécule chimique
cancérigène la plus significative jamais étudiée_"".
([source](http://nutritionstudies.org/provocations-casein-carcinogen-really/))

  

La caséine est pourtant vendue en pharmacie en France comme complément
alimentaire sportif... et le lait et produits laitiers font souvent l'objet de
publicités et apparaissent toujours dans les recommandations alimentaires...

  

De la même façon, les produits transformés industriels raffinés (à haut index
glycémique) et les produits transformés gras (riches en huiles ou graisses
animales) se sont également révélés être addictifs et peuvent donc occasionner
une dépendance non consciente chez les consommateurs qui peuvent ainsi acheter
ces produits de manière non réellement libre, sans réel libre arbitre, par
addiction alimentaire, alors que ces derniers ont été documentés comme étant
nocifs pour la santé au long terme par la littérature médicale.

",0,0,2017-08-13T23:23:32+02:00,0,2017-08-13T20:55:44+02:00,0,bocet,False,0,0,0,0,03588629-8059-11e7-92ee-fa163e947a7a
Production et distribution,Comment mieux intégrer la réalité des coûts de production ?,Solutions,Réflexions et responsabilités en remplacement du libre-marché piloté par le monde financier.,"Abandonner les lois du libre marché (toujours à la recherche du meilleur coût
par maximiser les profits) qui ne tiennent aucunement compte des impacts de la
production sur l'environnement, le marché intérieur et les liens sociaux ...
=&gt; et s'approcher d'une rétribution réfléchie et responsable (tout un
programme ;o)

",0,2,2017-08-06T21:47:00+02:00,0,2017-08-06T21:47:00+02:00,0,Lupo,False,2,0,0,0,03a06452-7ae0-11e7-92ee-fa163e947a7a
Consommation,Comment renforcer la sécurité sanitaire de l'alimentation ?,Solutions,Principe de précaution,"Le principe de précaution est inscrit dans la constitution. Il doit être la
norme, la référence et par ce biais interdire toutes substance prêtant à
controverse.

",0,1,2017-08-10T01:11:02+02:00,0,2017-08-10T01:11:02+02:00,0,Iceberg,False,1,0,0,0,03b6aca4-7d58-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,“Faire de l’aliment un créateur de lien”,"**« **Le 21ème siècle nous fait amorcer un virage vers une nouvelle forme d’économie qui revoit la répartition de la valeur. Les lignes sont revues, de nouveaux biens communs sont en train de s’inventer. La plateformisation, la blockchain, l’économie collaborative vont transformer l’agriculture. Les connaissances prendront le pas sur les intrants.



La plateforme est l’instrument de la connaissance : je t’offre ma connaissance
et je m’enrichies de la tienne. Les agriculteurs le font depuis toujours par
dessus la haie, au village. Le numérique a fait du monde un village, les
données produites par les hommes et les machines sont disponibles partout,
ouvrant à l’infini le champ des possibles.



Tout le monde s’interroge : le producteur pour son avenir, le consommateur sur
ce qu’il a dans son assiette, le citoyen du devenir de la planète, du bien-
être des animaux, de l’environnement… Le besoin de transparence et de
confiance se développe. Les producteurs et les consommateurs ne se connaissent
plus. La blockchain, ce grand registre partagé, sera le comptable de la
traçabilité nécessaire pour recréer du lien.



L’agriculture s’est développée en réseaux structurés sur le territoire. Les
réseaux de demain seront collaboratifs entre des producteurs et des
consomm’acteurs agissant de concert. Ce sont les hommes qui feront la
différence. Nous allons assister au retour de l’humain avec de réelles
opportunités de choix, de partage, de liberté d’achat et de vente, de travail
indépendant, de développement de la créativité collective.



Nous allons devoir rêver l’avenir : rêver l’avenir, c’est associer nos
convictions et nos rêves, se nourrir de rencontres et d’opportunités. Rêver
l’avenir, c’est l’imaginer meilleur et renaître de son passé comme un greffon
sur un arbre sans fruits. « La tradition est le pied mère et le progrès le
greffon » disait Jean Yole. Le pied mère nous ancre dans la terre et le
greffon comble nos désirs. **»**

",0,1,2017-07-22T09:40:20+02:00,0,2017-07-22T09:40:20+02:00,0,PILLAUD Hervé,False,1,1,0,0,03ca0eee-6eb1-11e7-92ee-fa163e947a7a
Consommation,Comment favoriser l’accès du plus grand nombre à une alimentation suffisante et saine ?,Solutions,Donner accès aux prix de gros aux consommateurs grace à l'achat groupé.,"Les circuits de distribution direct producteur-consommateur permettent
d'accéder aux prix de gros des producteurs et de donner accès à une
alimentation de qualité pour tous à un prix accessible sur le principe des EPI
(Epicerie participatives).

",0,2,2017-07-22T14:05:11+02:00,0,2017-07-22T14:05:11+02:00,0,AP,False,2,0,0,0,03cc8740-6ed6-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Solutions,Clarifier l'étiquetage,"Trois logos couleurs :Origine produit,Absence de substances nocives,Qualité
nutritionnelle,validés par organisme santé indépendant

",0,0,2017-07-22T08:07:17+02:00,0,2017-07-22T08:07:17+02:00,0,Richard Abi-Khalil,False,0,0,0,0,03e3239f-6ea4-11e7-92ee-fa163e947a7a
Consommation,Comment renforcer la sécurité sanitaire de l'alimentation ?,Causes,renforcer le rôle de l'Etat,"_Analyse de la situation actuelle_

  

Depuis trente à cinquante ans, les secteurs de la production agricole de la
transformation des produits agroalimentaires et de la distribution, se sont
fortement restructurés sous les effets de la PAC (Politique Agricole Commune)
et des politiques libérales à l’œuvre en Europe (concentration,
industrialisation) qui ont imposées une concurrence libre et soi-disant non
faussée...

Or, si les entreprises de transformation et de distribution ont tiré leur
épingle du jeu du point de vue économique, il n’en est pas de même pour les
exploitations agricoles. En effet, bien que « adaptées » au marché, les
exploitations agricoles subissent des crises à répétition et aucune embellie
n’est en vue. Il faut ajouter que toutes ces restructurations se sont faites
au prix d’une baisse drastique des emplois. A cela s’ajoute une défiance des
consommateurs qui n’hésitent plus à mettre en relation l’augmentation des
pathologies dont nombre de cancers et l’utilisation massive de pesticides en
agriculture.

Seul secteur en bonne santé économique, l’agriculture biologique qui est
plébiscitée des seuls consommateurs, car les pouvoirs publics limitent le
développement de ce mode de production, qui selon eux, doit rester une niche.
En 2016, la Surface Agricole Utile (SAU) en bio, en France était d’environ 5
%.

  

_Positionnement du SNUITAM-FSU_

  

Pour le SNUITAM-FSU, l’alimentation n’est pas un bien comme les autres, et
surtout pas un produit industriel. Au delà des aspects nutritionnels, qui sont
importants, l’alimentation est fortement imprégnée par nos influences
culturelles,voire religieuses.

Manger constitue un acte banal et pourtant fortement marqué de symboliques
comme dans notre relation aux autres (manger ensemble), dans notre relation
aux terroirs (manger du camembert de Normandie, du comté du Jura etc) dans
notre relation à la santé (manger des aliments sains) etc.

  

En résumé, se nourrir est un acte qui a du sens, qui crée du lien et qui
permet de rester en bonne santé, exactement le contraire de la restauration
industrialisée de type « Fast-food ».

Pour le SNUITAM-FSU, l’évolution du secteur alimentaire a été voulue et
encouragée par les politiques libérale.

Une directive emblématique de la commission européenne a fortement influencé
ces évolutions, c’est la 93-43 du 14 juin 1993 qui a bouleversé le droit
alimentaire européen, et donc français.

Cette directive, d’inspiration libérale, s’est substituée aux réglementations
nationales par l’obligation de transcription en introduisant les notions
d’autocontrôles et de responsabilité des acteurs. Jusqu’à cette directive, les
seuls contrôles relevaient des administrations publiques de chaque pays, le
ministère de l’agriculture pour la France.

  

L'idée qui sous-tend cette « nouvelle approche »se formule comme suit : les
producteurs (au sens large) connaissent bien leurs produits, ils sont donc les
mieux placés pour savoir comment ils doivent être mis sur le marché, et les
contrôles des administrations ne sont plus justifiés.

On en a vu rapidement les conséquences dans le secteur alimentaire, ce sont
les multiples crises  comme la vache folle, la viande de cheval dans les
lasagnes et maintenant le fipronil dans les œufs. Quand on connaît les enjeux
financiers de ces secteurs, faire confiance aux acteurs pour s’auto-contrôler
est un leurre.

  

Pour le SNUITAM-FSU, il faut sortir de cette logique d’auto-contrôle qui ne
fonctionne pas. La puissance publique doit se réapproprier le contrôle de
toute la chaîne alimentaire en recrutant suffisamment d’agents et ne pas se
limiter aux contrôles systématiques dans les abattoirs. La logique de
déréglementation actuelle doit être abandonnée car elle est contraire aux
intérêts de la population.

  

Tout le contrôle de la chaîne de transformation/distribution est à revoir en
réintroduisant les contrôles officiels . Par exemple, le rythme actuel de
contrôles des restaurants par des agents du ministère de l’agriculture dans
certains départements est d’un tous les 10 à 15 ans (chiffre du ministère de
l’agriculture). Ceci n’est plus acceptable.

  

Le SNUITAM-FSU dénonce la course aux agrandissements des outils industriels de
l’agroalimentaire qui détruisent les emplois et dégradent les conditions de
travail des salariés (cadences infernales sources de TMS*). De plus, la
dimension industrielle des outils transforme les animaux en objets. Ne
parle-t-on pas de minerai dans ces industries ?

  

Pour le SNUITAM-FSU, le bien-être animal est aussi une priorité dans les
abattoirs, l’administration doit donc recruter des agents pour surveiller la
mise à mort des animaux et l’abattage rituel doit être proscrit.

  

Le SNUITAM-FSU est favorable au développement d’une agriculture paysanne qui
protège la nature en se tournant résolument vers le bio, car créatrice de
valeur pour les exploitants, d’emplois pour les salariés et d’aliments sains
pour les consommateurs.

Dans cette perspective la recherche agricole est à réorienter (INRA)**, elle
est à mettre au service de l’agriculture biologique comme alternative durable
aux pesticides et auréchauffement climatique auquel l’agriculture
productiviste participe à hauteur de 25%. Il en est de même pour les aides PAC
qui doivent être lièes au respect de l’environnement et à la création
d’emploiset non plus aux surfaces.

Le SNUITAM-FSU prône une alimentation sans pesticide, des méthodes d’élevage
respectueuses des animaux dans des exploitations agricoles de taille humaine
(pas des usines à cochons, à volailles, à bovins), des outils de
transformation nombreux et respectueux des salariés et des terroirs, des
circuits courts. Voilà le modèle alimentaire qu’il convient de promouvoir
aujourd’hui, car l’alimentation est un bien public.

  

  

TMS* : Troubles Musculo-Squelettiques

INRA** : Institut National de la Recherche Agronomique

",0,0,2017-08-29T14:53:11+02:00,0,2017-08-29T14:53:11+02:00,0,SNUITAM-FSU,False,0,0,0,0,03f0f462-8cb9-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,L'absence de modèle agroécologique performant,"L'Espagne a 3 fermes de permaculture biologique de plus de 1000ha générant
plus de €5M de bénéfice/an employant chacune +250 personnes et en France? Nous
n'y croyons pas.

",0,3,2017-07-27T12:47:41+02:00,0,2017-07-27T12:47:41+02:00,2,George,False,8,5,0,3,04143f57-72b9-11e7-92ee-fa163e947a7a
